Week,Date,Year,Month,"Region (North, Central, South)",County,Site,Site Code,Time (24hr),Temp (oC),Salinity (ppt),Tide,Pseudo-nitzschia TOTAL (cells/L),Pseudo-nitzschia count LG (cells/L),Pseudo-nitzschia count SM (cells/L),Pseudo-nitzschia  americana (cells/L),Alexandrium (cells/L),Dinophysis (cells/L),H2O ELISA pDA (ng/L),%B/BO,Extract vol (ml),Dilution Factor,Comments,,
23,06/05/17,2017,June,North,Clatsop,Clatsop Seaside,SEA,9:29,13.1,,Incoming,"13,000","13,000",0,,0,0,LOW,,,,,,
23,06/05/17,2017,June,North,Clatsop,Clatsop South Jetty,CSJ,8:45,12.8,,Incoming,"3,000","3,000",0,,"2,000",0,LOW,,,,,,
23,06/05/17,2017,June,North,Clatsop,Clatsop Sunset,SUN,9:06,13.5,,Incoming,"22,000","20,000","2,000",,0,0,LOW,,,,,,
23,06/06/17,2017,June,Central,Lincoln,Newport South Beach,NSB,,,,,"156,000","153,000","3,000",,0,0,287.00,,,,,,
24,06/12/17,2017,June,South,Curry,Brookings,BRO,,11.5,,,"132,000","115,000","17,000",,"1,000",0,348.70,,,,,,
24,06/12/17,2017,June,North,Clatsop,Cannon Beach Tolovana,CBT,8:42,13.8,,Outgoing,"1,000","1,000",0,,0,"1,000",N/A,,,,,,
24,06/12/17,2017,June,North,Tillamook,Cape Meares,CAP,10:18,13.8,,,0,0,0,,0,0,N/A,,,,,,
24,06/12/17,2017,June,North,Clatsop,Clatsop Seaside,SEA,8:12,14.1,,Outgoing,"3,000","3,000",0,,0,"1,000",N/A,,,,,,
24,06/12/17,2017,June,North,Clatsop,Clatsop South Jetty,CSJ,7:14,13.7,,Outgoing,"6,000","6,000",0,,0,0,N/A,,,,,,
24,06/12/17,2017,June,North,Clatsop,Clatsop Sunset,SUN,7:39,13.7,,Outgoing,"11,000","11,000",0,,0,"1,000",N/A,,,,,,
24,06/12/17,2017,June,Central,Lincoln,Newport South Beach,NSB,,14.5,,,"29,000","29,000",0,,0,0,ND,,,,,,
25,06/19/17,2017,June,South,Curry,Brookings,BRO,,13.4,,,"26,000","26,000",0,,0,0,N/A,,,,,,
25,06/19/17,2017,June,North,Clatsop,Cannon Beach Tolovana,CBT,11:36,16.2,,Outgoing,0,0,0,,0,0,N/A,,,,,,
25,06/19/17,2017,June,North,Tillamook,Cape Meares,CAP,13:00,15.6,,,0,0,0,,0,0,N/A,,,,,,
25,06/19/17,2017,June,North,Clatsop,Clatsop Seaside,SEA,11:13,17.4,,Outgoing,0,0,0,,0,0,N/A,,,,,,
25,06/19/17,2017,June,North,Clatsop,Clatsop South Jetty,CSJ,10:17,16.4,,Outgoing,0,0,0,,0,0,N/A,,,,,,
25,06/19/17,2017,June,North,Clatsop,Clatsop Sunset,SUN,10:43,17.8,,Outgoing,"1,000","1,000",0,,0,0,N/A,,,,,,
26,06/26/17,2017,June,North,Clatsop,Cannon Beach Tolovana,CBT,13:21,16.3,,Incoming,0,0,0,,0,0,N/A,,,,,,
26,06/26/17,2017,June,North,Tillamook,Cape Meares,CAP,14:44,14.6,,,"15,000","15,000",0,,0,0,N/A,,,,,,
26,06/26/17,2017,June,North,Clatsop,Clatsop Seaside,SEA,12:49,15.6,,Incoming,0,0,0,,0,0,N/A,,,,,,
26,06/26/17,2017,June,North,Clatsop,Clatsop South Jetty,CSJ,11:23,14.9,,Incoming,"17,000","13,000","4,000",,0,0,N/A,,,,,,
26,06/26/17,2017,June,North,Clatsop,Clatsop Sunset,SUN,11:49,15.3,,Incoming,"9,000","8,000","1,000",,0,"1,000",N/A,,,,,,
26,06/27/17,2017,June,South,Curry,Brookings,BRO,9:48,14.1,,,"165,000","165,000",0,,0,0,279.20,,,,,,
26,06/29/17,2017,June,Central,Lincoln,Newport South Beach,NSB,,16.5,,,"33,000","7,000","26,000",,0,0,,,,,,,
27,07/03/17,2017,July,North,Clatsop,Cannon Beach Tolovana,CBT,9:50,11.1,,High,"2,000","2,000",0,,0,0,N/A,,,,,,
27,07/03/17,2017,July,North,Tillamook,Cape Meares,CAP,11:10,13.0,,,"3,000","3,000",0,,0,0,N/A,,,,,,
27,07/03/17,2017,July,North,Clatsop,Clatsop Seaside,SEA,9:15,14.2,,Incoming,"33,000","33,000",0,,"2,000",0,N/A,,,,,,
27,07/03/17,2017,July,North,Clatsop,Clatsop South Jetty,CSJ,8:15,12.3,,Incoming,"1,000","1,000",0,,0,0,N/A,,,,,,
27,07/03/17,2017,July,North,Clatsop,Clatsop Sunset,SUN,8:35,13.0,,Incoming,"23,000","23,000",0,,"1,000",0,N/A,,,,,,
27,07/05/17,2017,July,Central,Lincoln,Lincoln City Salishan,SAL,,9.5,,,0,0,0,,0,0,,,,,,,
28,07/10/17,2017,July,North,Clatsop,Cannon Beach Tolovana,CBT,10:30,10.5,,Incoming,"39,000","30,000","9,000",,0,"1,000",LOW,,,,,,
28,07/10/17,2017,July,North,Tillamook,Cape Meares,CAP,11:55,14.2,,,"23,000","18,000","5,000",,0,0,N/A,,,,,,
28,07/10/17,2017,July,North,Clatsop,Clatsop Seaside,SEA,10:02,14.5,,Incoming,"199,000","154,000","45,000",,0,0,43.80,,,,,,
28,07/10/17,2017,July,North,Clatsop,Clatsop South Jetty,CSJ,8:47,10.2,,Incoming,"115,000","69,000","46,000",,0,0,LOW,,,,,,
28,07/10/17,2017,July,North,Clatsop,Clatsop Sunset,SUN,9:19,11.6,,Incoming,"126,000","86,000","40,000",,0,"2,000",LOW,,,,,,
28,07/10/17,2017,July,Central,Lincoln,Newport South Beach,NSB,,11.0,,,"20,000","3,000","17,000",,0,0,,,,,,,
29,07/17/17,2017,July,North,Clatsop,Cannon Beach Tolovana,CBT,9:49,11.9,,Outgoing,"146,000","127,000","19,000",,0,0,LOW,,,,,,
29,07/17/17,2017,July,North,Tillamook,Cape Meares,CAP,11:24,12.6,,,"38,000","28,000","10,000",,0,0,N/A,,,,,,
29,07/17/17,2017,July,North,Clatsop,Clatsop Seaside,SEA,9:23,15.1,,Outgoing,"151,000","113,000","38,000",,0,0,LOW,,,,,,
29,07/17/17,2017,July,North,Clatsop,Clatsop South Jetty,CSJ,8:19,11.2,,Outgoing,"569,000","466,000","103,000",,0,0,125.20,,,,,,
29,07/17/17,2017,July,North,Clatsop,Clatsop Sunset,SUN,8:52,12.9,,Outgoing,"515,000","457,000","58,000",,0,"1,000",89.40,,,,,,
29,07/22/17,2017,July,South,Curry,Brookings,BRO,18:16,17.9,,,"472,000","469,000","3,000",,0,0,N/A,,,,,,
30,07/23/17,2017,July,South,Coos,Bandon Whiskey Run,BWR,8:39,14.3,,,"46,000","30,000","16,000",,0,0,N/A,,,,,,
30,07/24/17,2017,July,South,Curry,Port Orford,PTO,,,,,"70,000","25,000","45,000",,0,0,,,,,,,
30,07/26/17,2017,July,North,Clatsop,Cannon Beach Tolovana,CBT,12:14,12.8,,Incoming,"61,000","51,000","10,000",,0,0,N/A,,,,,,
30,07/26/17,2017,July,North,Tillamook,Cape Meares,CAP,10:10,10.3,,,"83,000","73,000","10,000",,0,0,35.60,,,,,,
30,07/26/17,2017,July,North,Clatsop,Clatsop Seaside,SEA,12:43,19.7,,Incoming,"317,000","282,000","35,000",,0,0,48.30,,,,,,
30,07/26/17,2017,July,North,Clatsop,Clatsop South Jetty,CSJ,13:40,15.8,,Incoming,"9,000","9,000",0,,0,0,N/A,,,,,,
30,07/26/17,2017,July,North,Clatsop,Clatsop Sunset,SUN,13:16,18.5,,Incoming,"190,000","162,000","28,000",,0,0,63.90,,,,,,
30,07/26/17,2017,July,Central,Lincoln,Newport South Beach,NSB,8:02,8.9,,Outgoing,"58,000","21,000","37,000",,"1,000",0,,,,,,,
31,07/31/17,2017,July,South,Curry,Brookings,BRO,,15.8,,,"294,000","293,000","1,000",,0,0,37.50,,,,,,
31,07/31/17,2017,July,North,Clatsop,Cannon Beach Tolovana,CBT,11:00,12.0,,Outgoing,"131,000","118,000","13,000",,0,0,120.40,,,,,,
31,07/31/17,2017,July,North,Tillamook,Cape Meares,CAP,12:36,12.4,,,"68,000","65,000","3,000",,0,0,67.60,,,,,,
31,07/31/17,2017,July,North,Clatsop,Clatsop Seaside,SEA,10:38,13.4,,Outgoing,"812,000","741,000","71,000",,0,"2,000",462.30,,,,,,
31,07/31/17,2017,July,North,Clatsop,Clatsop South Jetty,CSJ,9:30,12.5,,Outgoing,"88,000","82,000","6,000",,0,0,591.50,,,,,,
31,07/31/17,2017,July,North,Clatsop,Clatsop Sunset,SUN,9:58,12.4,,Outgoing,"225,000","182,000","43,000",,0,0,467.60,,,,,,
31,07/31/17,2017,July,Central,Lincoln,Lincoln City Salishan,SAL,10:10,10.4,,Outgoing,"42,000","24,000","18,000",,0,0,,,,,,,
32,08/07/17,2017,August,North,Clatsop,Cannon Beach Tolovana,CBT,9:20,11.9,,Incoming,"336,000","310,000","26,000",,0,0,435.40,,,,,,
32,08/07/17,2017,August,North,Tillamook,Cape Meares,CAP,11:00,11.6,,,"260,000","242,000","18,000",,0,0,587.10,,,,,,
32,08/07/17,2017,August,North,Clatsop,Clatsop Seaside,SEA,8:55,14.3,,Incoming,"267,000","242,000","25,000",,0,0,253.10,,,,,,
32,08/07/17,2017,August,North,Clatsop,Clatsop South Jetty,CSJ,7:20,11.5,,Low,"476,000","416,000","60,000",,0,0,811.20,,,,,,
32,08/07/17,2017,August,North,Clatsop,Clatsop Sunset,SUN,8:05,12.6,,Incoming,"301,000","266,000","35,000",,0,0,325.50,,,,,,
33,08/14/17,2017,August,North,Clatsop,Cannon Beach Tolovana,CBT,10:45,15.1,,Outgoing,"153,000","145,000","8,000",,0,0,70.50,,,,,,
33,08/14/17,2017,August,North,Clatsop,Clatsop Seaside,SEA,10:10,14.9,,Outgoing,"469,000","435,000","34,000",,0,0,LOW,,,,,,
33,08/14/17,2017,August,North,Clatsop,Clatsop South Jetty,CSJ,9:04,14.4,,Outgoing,"268,000","252,000","16,000",,0,0,215.90,,,,,,
33,08/14/17,2017,August,North,Clatsop,Clatsop Sunset,SUN,9:30,14.6,,Outgoing,"222,000","208,000","14,000",,0,0,261.00,,,,,,
35,08/28/17,2017,August,North,Clatsop,Cannon Beach Tolovana,CBT,9:10,9.9,,Outgoing,"33,000","31,000","2,000",,0,0,48.00,,,,,,
35,08/28/17,2017,August,North,Clatsop,Clatsop Seaside,SEA,8:30,12.0,,Outgoing,"332,000","324,000","8,000",,0,0,485.40,,,,,,
35,08/28/17,2017,August,North,Clatsop,Clatsop South Jetty,CSJ,7:35,9.1,,Outgoing,"5,000","5,000",0,,0,0,N/A,,,,,,
35,08/28/17,2017,August,North,Clatsop,Clatsop Sunset,SUN,8:05,9.5,,Outgoing,"24,000","21,000","3,000",,0,0,251.20,,,,,,
36,09/06/17,2017,September,North,Clatsop,Cannon Beach Tolovana,CBT,8:55,11.7,,Incoming,"790,000","779,000","11,000",,0,0,454.80,,,,,,
36,09/06/17,2017,September,North,Clatsop,Clatsop Seaside,SEA,8:20,12.2,,Incoming,"1,976,000","1,944,000","32,000",,0,0,409.40,,,,,,
36,09/06/17,2017,September,North,Clatsop,Clatsop South Jetty,CSJ,7:10,12.6,,Incoming,"524,000","507,000","17,000",,0,0,272.80,,,,,,
36,09/06/17,2017,September,North,Clatsop,Clatsop Sunset,SUN,7:40,11.8,,Incoming,"367,000","362,000","5,000",,0,0,276.20,,,,,,
37,09/11/17,2017,September,North,Clatsop,Cannon Beach Tolovana,CBT,9:50,11.6,,Outgoing,"977,000","973,000","4,000",,0,0,241.40,,,,,,
37,09/11/17,2017,September,North,Clatsop,Clatsop Seaside,SEA,9:25,13.6,,Outgoing,"3,598,000","3,480,000","118,000",,0,0,534.30,,,,,,
37,09/11/17,2017,September,North,Clatsop,Clatsop South Jetty,CSJ,8:30,13.1,,Outgoing,"1,699,000","1,649,000","50,000",,0,0,899.00,,,,,,
37,09/11/17,2017,September,North,Clatsop,Clatsop Sunset,SUN,8:50,13.1,,Outgoing,"4,546,000","4,462,000","84,000",,0,0,942.80,,,,,,
38,09/18/17,2017,September,North,Clatsop,Cannon Beach Tolovana,CBT,11:00,12.8,,Incoming,"1,042,000","935,000","107,000",,"1,000",0,68.80,,,,,,
38,09/18/17,2017,September,North,Clatsop,Clatsop Seaside,SEA,7:15,13.2,,Incoming,"1,853,000","1,669,000","184,000",,0,0,82.80,,,,,,
38,09/18/17,2017,September,North,Clatsop,Clatsop South Jetty,CSJ,8:45,13.5,,Incoming,"1,644,000","1,584,000","60,000",,0,0,84.20,,,,,,
38,09/18/17,2017,September,North,Clatsop,Clatsop Sunset,SUN,7:40,13.2,,Incoming,"1,603,000","1,441,000","162,000",,0,0,79.40,,,,,,
39,09/25/17,2017,September,North,Clatsop,Cannon Beach Tolovana,CBT,9:20,12.8,,Outgoing,"43,000","36,000","7,000",,0,0,LOW,,,,,,
39,09/25/17,2017,September,North,Clatsop,Clatsop Seaside,SEA,8:45,13.3,,Outgoing,"80,000","77,000","3,000",,0,0,LOW,,,,,,
39,09/25/17,2017,September,North,Clatsop,Clatsop South Jetty,CSJ,7:45,13.2,,Outgoing,"79,000","74,000","5,000",,"2,000",0,LOW,,,,,,
39,09/25/17,2017,September,North,Clatsop,Clatsop Sunset,SUN,8:10,12.8,,Outgoing,"111,000","102,000","9,000",,"2,000","2,000",LOW,,,,,,
41,10/11/17,2017,October,North,Clatsop,Cannon Beach Tolovana,CBT,11:30,11.9,,Incoming,"32,000","19,000","13,000",,0,0,N/A,,,,,,
41,10/11/17,2017,October,North,Clatsop,Clatsop Seaside,SEA,11:00,12.0,,Low,"25,000","24,000","1,000",,0,0,N/A,,,,,,
41,10/11/17,2017,October,North,Clatsop,Clatsop South Jetty,CSJ,10:00,11.9,,Outgoing,"163,000","31,000","132,000",,0,0,N/A,,,,,,
41,10/11/17,2017,October,North,Clatsop,Clatsop Sunset,SUN,10:25,11.8,,Outgoing,"30,000","18,000","12,000",,0,0,N/A,,,,,,
43,10/26/17,2017,October,North,Clatsop,Cannon Beach Tolovana,CBT,10:25,12.6,,Outgoing,"16,000","14,000","2,000",,0,0,N/A,,,,,,
43,10/26/17,2017,October,North,Tillamook,Cape Meares,CAP,11:50,13.2,,,"16,000","9,000","7,000",,0,0,N/A,,,,,,
43,10/26/17,2017,October,North,Clatsop,Clatsop Seaside,SEA,9:50,12.4,,Outgoing,"24,000","13,000","11,000",,"3,000",0,N/A,,,,,,
43,10/26/17,2017,October,North,Clatsop,Clatsop Sunset,SUN,9:20,11.9,,Outgoing,"15,000","14,000","1,000",,0,0,N/A,,,,,,
43,10/27/17,2017,October,North,Clatsop,Clatsop South Jetty,CSJ,8:55,12.3,,Outgoing,"11,000","8,000","3,000",,0,0,N/A,,,,,,
45,11/06/17,2017,November,South,Curry,Brookings,BRO,9:30,10.8,,,"7,680,000","7,672,000","8,000",,0,0,3201.32,,,,,,
45,11/09/17,2017,November,North,Clatsop,Cannon Beach Tolovana,CBT,12:10,11.8,,Incoming,"19,000","16,000","3,000",,0,0,N/A,,,,,,
45,11/09/17,2017,November,North,Tillamook,Cape Meares,CAP,10:40,11.8,,,"14,000","8,000","6,000",,0,0,N/A,,,,,,
45,11/09/17,2017,November,North,Clatsop,Clatsop Seaside,SEA,12:35,11.5,,Incoming,"14,000","7,000","7,000",,0,0,N/A,,,,,,
45,11/09/17,2017,November,North,Clatsop,Clatsop South Jetty,CSJ,13:40,11.6,,Incoming,"44,000","43,000","1,000",,0,0,N/A,,,,,,
45,11/09/17,2017,November,North,Clatsop,Clatsop Sunset,SUN,13:00,11.8,,Incoming,"45,000","38,000","7,000",,0,"1,000",N/A,,,,,,
48,11/28/17,2017,November,South,Curry,Brookings,BRO,,,,,"7,000","2,000","5,000",,0,0,N/A,,,,,,
48,11/28/17,2017,November,North,Clatsop,Cannon Beach Tolovana,CBT,10:55,10.5,,Outgoing,"1,000",0,"1,000",,0,0,N/A,,,,,,
48,11/28/17,2017,November,North,Tillamook,Cape Meares,CAP,12:30,10.8,,,"2,000",0,"2,000",,0,0,N/A,,,,,,
48,11/28/17,2017,November,North,Clatsop,Clatsop Seaside,SEA,10:15,10.8,,Outgoing,0,0,0,,0,0,N/A,,,,,,
48,11/28/17,2017,November,North,Clatsop,Clatsop South Jetty,CSJ,9:10,11.1,,Outgoing,"2,000","2,000",0,,0,0,N/A,,,,,,
48,11/28/17,2017,November,North,Clatsop,Clatsop Sunset,SUN,9:45,10.4,,Outgoing,0,0,0,,0,0,N/A,,,,,,
50,12/11/17,2017,December,North,Clatsop,Cannon Beach Tolovana,CBT,10:30,10.5,,Outgoing,"9,000","2,000","7,000",,0,0,N/A,,,,,,
50,12/11/17,2017,December,North,Tillamook,Cape Meares,CAP,11:55,10.6,,,"5,000","1,000","4,000",,0,0,N/A,,,,,,
50,12/11/17,2017,December,North,Clatsop,Clatsop Seaside,SEA,10:00,9.8,,Outgoing,"9,000","1,000","8,000",,0,0,N/A,,,,,,
50,12/11/17,2017,December,North,Clatsop,Clatsop South Jetty,CSJ,8:55,8.5,,Outgoing,"9,000",0,"9,000",,0,0,N/A,,,,,,
50,12/11/17,2017,December,North,Clatsop,Clatsop Sunset,SUN,9:25,9.7,,Outgoing,"9,000",0,"9,000",,0,0,N/A,,,,,,
51,12/19/17,2017,December,South,Curry,Brookings,BRO,,,,,"8,000","5,000","3,000",,0,0,N/A,,,,,,
52,12/27/17,2017,December,North,Clatsop,Cannon Beach Tolovana,CBT,10:15,9.9,,Outgoing,"4,000",0,"4,000",,0,0,N/A,,,,,,
52,12/27/17,2017,December,North,Tillamook,Cape Meares,CAP,11:40,10.4,,,"3,000",0,"3,000",,0,0,N/A,,,,,,
52,12/27/17,2017,December,North,Clatsop,Clatsop Seaside,SEA,9:40,9.7,,Outgoing,"13,000","1,000","12,000",,0,0,N/A,,,,,,
52,12/27/17,2017,December,North,Clatsop,Clatsop South Jetty,CSJ,8:30,8.6,,Outgoing,"1,000",0,"1,000",,0,0,N/A,,,,,,
52,12/27/17,2017,December,North,Clatsop,Clatsop Sunset,SUN,9:10,8.6,,Outgoing,"13,000","6,000","7,000",,0,0,N/A,,,,,,
2,01/08/18,2018,January,North,Clatsop,Cannon Beach Tolovana,CBT,10:00,9.9,,Outgoing,"1,000","1,000",0,,0,0,N/A,,,,,,
2,01/08/18,2018,January,North,Tillamook,Cape Meares,CAP,11:20,10.1,,,"9,000","8,000","1,000",,0,0,N/A,,,,,,
2,01/08/18,2018,January,North,Clatsop,Clatsop Seaside,SEA,9:25,9.9,,Outgoing,"1,000",0,"1,000",,0,0,N/A,,,,,,
2,01/08/18,2018,January,North,Clatsop,Clatsop South Jetty,CSJ,8:25,9.4,,Outgoing,"1,000",0,"1,000",,0,0,N/A,,,,,,
2,01/08/18,2018,January,North,Clatsop,Clatsop Sunset,SUN,8:50,9.4,,Outgoing,"2,000",0,"2,000",,0,0,N/A,,,,,,
4,01/22/18,2018,January,North,Clatsop,Cannon Beach Tolovana,CBT,10:00,10.5,,Incoming,"9,000","1,000","8,000",,0,0,N/A,,,,,,
4,01/22/18,2018,January,North,Tillamook,Cape Meares,CAP,11:20,11.0,,,"7,000","2,000","5,000",,0,0,N/A,,,,,,
4,01/22/18,2018,January,North,Clatsop,Clatsop Seaside,SEA,10:00,10.3,,Incoming,"11,000","3,000","8,000",,0,0,N/A,,,,,,
4,01/22/18,2018,January,North,Clatsop,Clatsop South Jetty,CSJ,8:55,10.2,,Outgoing,"6,000","4,000","2,000",,0,0,N/A,,,,,,
